Timestamp,Open,High,Low,Close,Vol,VolCcy,Rate
2018/7/31,8174.2,8180.5,7641.1,7738.5,14151.94009,111501154.9359808,2.44
2018/8/1,7741.4,7752,7440.7,7600,12661.94673,95846126.29120864,2.45
2018/8/2,7602.1,7931,7459,7529.4,9300.762436,70522312.14588496,2.45
2018/8/3,7530.1,7530.2,7279,7416.7,12262.19593,90578348.27892769,2.43
2018/8/4,7416.7,7495.6,6935.7,7007.8,11858.45152,85322299.39204564,2.43
2018/8/5,7006.9,7085,6877.4,7018.2,9550.944239,66800404.64757469,2.43
2018/8/6,7021.8,7151,6845,6938.3,9712.628961,67920710.01,2.44
2018/8/7,6937.7,7147.2,6670,6721.6,16179.97657,112556393.47528615,2.45
2018/8/8,6721.1,6723.6,6120,6279.7,28914.08052,186129800.39086172,2.44
2018/8/9,6283,6623,6185.6,6524.5,30269.87196,193607288.61080674,2.44
2018/8/10,6523.3,6570.3,6015.3,6148.6,54133.04981,345711726.57307423,2.42
2018/8/11,6149.9,6474.7,5988.4,6226.9,37757.33452,232343017.87171345,2.42
2018/8/12,6227.5,6458.9,6147.4,6307.3,34838.60967,219684537.84123997,2.42
2018/8/13,6311.1,6526,6140,6253.3,24179.22188,153808883.19616084,2.42
2018/8/14,6250,6254.5,5880,6185.2,75676.63473,454700819.00962331,2.44
2018/8/15,6188.1,6600,6177,6266,22318.99626,142017813.35636413,2.45
2018/8/16,6267.3,6474.6,6214.9,6317.2,18221.66262,115608295.20103122,2.45
2018/8/17,6320,6583.3,6293.8,6580,17832.04334,115232268.91783357,2.44
2018/8/18,6580.9,6616,6300,6391.3,10955.89982,70572720.62904328,2.44
2018/8/19,6388.6,6549.2,6303,6473.1,8873.860029,56822990.67,2.44
2018/8/20,6473.1,6524.9,6228,6250.5,11341.88748,72703250.34,2.43
2018/8/21,6254.7,6500,6232,6477.3,9978.607388,63804494.48635169,2.45
2018/8/22,6480,6875.7,6254.5,6361.2,15017.62823,98574737.14474255,2.43
2018/8/23,6360.6,6569,6345.1,6521.6,9310.965728,59917423.27826321,2.43
2018/8/24,6521.7,6723.1,6452,6681.5,12104.98083,79292780.03714214,2.44
2018/8/25,6681.5,6785,6655,6732.4,8124.995025,54572816.78311805,2.44
2018/8/26,6732.5,6780,6568.8,6697.6,8082.805914,53920695.34794574,2.44
2018/8/27,6698.8,6936.3,6647,6906.3,9523.738417,64143402.45550019,2.47
2018/8/28,6905.6,7128.8,6865.1,7083.4,9690.252689,67807463.59912148,2.47
2018/8/29,7083.4,7132.3,6900,7034.8,9323.428891,65707104.94326657,2.48
2018/8/30,7031.2,7064.2,6800,6980.7,9249.227547,64065091.80708834,2.47
2018/8/31,6984,7087.3,6863.5,7012.9,7877.987118,55015257.79,2.46
2018/9/1,7016.2,7275.3,7008.8,7203.6,7380.33446,52505744.38,2.46
2018/9/2,7203.6,7345.6,7128.2,7301.6,9016.928145,65378667.88620764,2.46
2018/9/3,7300.7,7337,7195.5,7262.6,8361.390771,60741000.15899495,2.46
2018/9/4,7262.4,7414.8,7240.5,7360.3,8180.527977,59986123.70064332,2.49
2018/9/5,7360.3,7395.5,6688,6702.6,17150.65453,120770715.83125197,2.49
2018/9/6,6703.9,6725,6301.3,6512.7,22181.06628,142736064.37051926,2.5
2018/9/7,6512.1,6550,6320,6400.9,15214.85214,98091046.43057371,2.53
2018/9/8,6400.9,6478.9,6101,6183.2,9995.169783,63426716.18989325,2.53
2018/9/9,6185,6447.8,6147,6248.2,10435.08426,65832621.69318713,2.53
2018/9/10,6248,6368.8,6217,6312.1,8747.518386,55073594.84669549,2.54
2018/9/11,6312.1,6400,6167.8,6291.9,8826.088493,55556053.87950628,2.55
2018/9/12,6293.8,6363.4,6189.8,6333.9,8618.230849,54089997.50472538,2.56
2018/9/13,6332.9,6532,6332.6,6488.7,9396.287221,60583909.11162309,2.55
2018/9/14,6488.2,6584.6,6388,6478,8384.712384,54484123.79965778,2.56
2018/9/15,6479.8,6564.4,6466.3,6513.5,6074.458101,39595845.43413597,2.56
2018/9/16,6516.7,6521.9,6376,6500.8,6064.534759,39279432.72711428,2.56
2018/9/17,6500.8,6534.9,6205,6250.3,10519.59341,67139282.02159174,2.57
2018/9/18,6248.5,6392.7,6219.4,6336.3,9020.550534,56879803.25600138,2.58
2018/9/19,6336.3,6527.4,6119.8,6393,11723.28232,74239417.68819839,2.58
2018/9/20,6391.1,6535.2,6340,6492,8530.595639,54796224.23303022,2.58
2018/9/21,6492,6785,6489.1,6759.9,13477.29247,89899361.23442787,2.58
2018/9/22,6759.9,6838,6636,6722.5,8966.491435,60291932.82981054,2.58
2018/9/23,6722.6,6785,6666.7,6708.1,6888.278628,46277809.37,2.58
2018/9/24,6708.1,6730,6552.4,6582.4,7875.198245,52295871.87336329,2.6
2018/9/25,6582.8,6585.9,6330,6444.5,11896.9693,76436876.72332504,2.59
2018/9/26,6444.4,6564.2,6379.5,6466.2,8113.41054,52536899.61190303,2.58
2018/9/27,6466.2,6741.5,6438,6689.6,8772.077718,57488006.15215729,2.58
2018/9/28,6691.2,6816.3,6550,6636.9,11871.15806,79471662.88585791,2.59
2018/9/29,6636.9,6636.9,6468.5,6597.1,8213.395037,53869902.42459995,2.59
2018/9/30,6596.6,6660,6525,6625,6659.787657,43972363.22985626,2.59
2018/10/1,6626.5,6661.6,6500.9,6610.9,7113.062492,46968280.76850267,2.6
2018/10/2,6608.6,6648.6,6484.9,6533.6,6874.755496,45200980.02698441,2.61
2018/10/3,6533.6,6547.5,6430.6,6510.4,7141.333307,46338720.96208128,2.62
2018/10/4,6510.4,6645,6501.8,6590.3,6994.364398,46102666.02592448,2.63
2018/10/5,6590.7,6690.5,6550,6636.4,6338.855189,41832767.38519829,2.64
2018/10/6,6636.4,6646.6,6567.3,6594.8,5633.273078,37197884.22885399,2.64
2018/10/7,6594.8,6639.5,6531.7,6614.6,5839.261122,38441109.03765712,2.64
2018/10/8,6613.6,6698.2,6589.8,6672.4,7379.113933,49041101.43784785,2.64
2018/10/9,6669.1,6680,6610.5,6657.6,3970.886656,26419343.50638739,2.65
2018/10/10,6653.9,6656.6,6527.7,6628.6,4024.352913,26551288.33220428,2.67
2018/10/11,6626,6628.6,6211,6251.4,10741.68302,67996857.47457494,2.66
2018/10/12,6250.1,6359.6,6206.6,6293.6,3735.721366,23546970.02497028,2.66
